id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,1,regression,-28.6672,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:35:14,14729.4,14418.5,72.6,2.0,2061097848,,13.7519,0.0591062,28.6672,,,,
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,2,regression,-28.1876,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:36:28,14781.7,14417.6,121.8,4.0,2061097849,,13.6828,0.0555615,28.1876,,,,
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,3,regression,-29.123,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:35:08,14696.2,14413.9,38.8,1.0,2061097850,,13.7995,0.04764,29.123,,,,
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,4,regression,-29.0101,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:35:00,14686.9,14404.5,39.3,1.0,2061097851,,13.8084,0.0473803,29.0101,,,,
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,5,regression,-28.7224,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:35:06,14691.4,14396.2,59.0,2.0,2061097852,,13.7889,0.0508524,28.7224,,,,
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,6,regression,-28.5434,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:35:44,14737.0,14414.5,81.8,4.0,2061097853,,13.6264,0.0623866,28.5434,,,,
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,7,regression,-28.4855,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:35:39,14739.6,14438.9,60.0,1.0,2061097854,,13.5564,0.0641857,28.4855,,,,
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,8,regression,-28.5932,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:34:59,14708.8,14401.6,64.9,3.0,2061097855,,13.7288,0.0586439,28.5932,,,,
openml.org/t/359929,Airlines_DepDelay_10M,autosklearn2,4h8c,9,regression,-28.6475,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:35:12,14721.6,14404.2,73.7,2.0,2061097856,,13.786,0.0473387,28.6475,,,,
openml.org/t/189356,albert,autosklearn2,4h8c,0,binary,0.756305,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:28:51,14620.3,14410.8,37.3,11.0,2061097847,,,,,0.688576,0.756305,0.688576,0.584971
